trade_date,open_price,close_price
2018-11-11,212.479004,211.339996
2018-11-12,211.513,210.417999
2018-11-13,210.149002,206.826004
2018-11-14,206.533997,181.397003
2018-11-15,181.899002,180.806
2018-11-16,180.865005,175.177002
2018-11-17,175.360001,174.001007
2018-11-18,174.175003,177.067001
2018-11-19,177.179001,149.175003
2018-11-20,148.811005,130.339005
2018-11-21,131.141998,136.701004
2018-11-22,136.811005,126.706001
2018-11-23,126.418999,123.295998
2018-11-24,123.304001,113.494003
2018-11-25,113.125999,116.449997
2018-11-26,116.343002,108.334999
2018-11-27,107.913002,110.010002
2018-11-28,110.197998,122.438004
2018-11-29,122.72155,117.542648
2018-11-30,117.728096,113.171417
2018-12-01,113.397758,118.635559
2018-12-02,118.26815,116.388901
2018-12-03,116.378761,108.925018
2018-12-04,108.803162,110.214188
2018-12-05,110.335518,102.475555
2018-12-06,102.450592,91.761055
2018-12-07,91.649834,93.294563
2018-12-08,93.41008,92.159637
2018-12-09,92.035431,95.142059
2018-12-10,94.992172,91.685654
2018-12-11,91.578934,88.945305
2018-12-12,88.610703,90.5933
2018-12-13,90.655228,86.539314
2018-12-14,86.630356,84.308296
2018-12-15,84.279694,84.440811
2018-12-16,84.469406,85.2621
2018-12-17,85.382111,95.133827
2018-12-18,95.10804,101.112457
2018-12-19,101.683846,101.268578
2018-12-20,101.090439,116.216873
2018-12-21,115.835403,109.496231
2018-12-22,109.45594,116.759499
2018-12-23,117.273895,130.765259
2018-12-24,130.641663,140.238007
2018-12-25,140.997589,129.844345
2018-12-26,129.888824,131.865631
2018-12-27,131.923584,116.575912
2018-12-28,116.898201,137.647018
2018-12-29,138.468781,138.018341
2018-12-30,137.627457,139.859451
2018-12-31,140.031067,133.368256
2019-01-01,133.418152,140.819412
2019-01-02,141.519516,155.047684
2019-01-03,155.196045,149.13501
2019-01-04,148.912888,154.58194
2019-01-05,154.337418,155.638596
2019-01-06,155.80423,157.746201
2019-01-07,157.809494,151.699219
2019-01-08,151.967545,150.359634
2019-01-09,150.554688,150.803116
2019-01-10,150.843506,128.625183
2019-01-11,127.813965,127.548325
2019-01-12,127.528084,125.96653
2019-01-13,125.907227,116.897804
2019-01-14,116.979095,129.068726
2019-01-15,129.172684,122.032715
2019-01-16,121.809242,123.547066
2019-01-17,123.57354,123.74192
2019-01-18,123.654655,121.010262
2019-01-19,121.614426,124.51902
2019-01-20,124.632401,119.474831
2019-01-21,119.636459,117.157852
2019-01-22,117.110756,118.747551
2019-01-23,118.713814,117.452606
2019-01-24,117.462784,117.362885
2019-01-25,117.594955,116.378342
2019-01-26,116.373528,116.488739
2019-01-27,116.510315,113.405289
2019-01-28,113.285233,106.589973
2019-01-29,106.721954,105.598213
2019-01-30,105.407204,108.907539
2019-01-31,108.900772,107.061012
2019-02-01,107.147682,107.609787
2019-02-02,107.466415,110.43026
2019-02-03,110.490318,107.492668
2019-02-04,107.625824,107.821602
2019-02-05,107.628166,107.44352
2019-02-06,107.569305,104.919289
2019-02-07,104.835777,104.535301
2019-02-08,104.64505,119.267746
2019-02-09,119.214111,119.430885
2019-02-10,119.408966,124.806488
2019-02-11,124.871536,121.298393
2019-02-12,121.178574,122.572289
2019-02-13,122.544289,122.553604
2019-02-14,122.416985,121.390205
2019-02-15,121.453697,122.100388
2019-02-16,122.396454,123.260216
2019-02-17,123.182083,133.598877
2019-02-18,133.032547,146.098373
2019-02-19,146.398819,145.346191
2019-02-20,145.172729,149.554337
2019-02-21,149.352325,146.130844
2019-02-22,146.073257,149.092453
2019-02-23,148.67662,158.795425
2019-02-24,158.902405,135.852661
2019-02-25,135.499725,139.822861
2019-02-26,139.646088,138.089676
2019-02-27,138.029572,136.125961
2019-02-28,136.283081,136.746246
2019-03-01,136.836243,136.443619
2019-03-02,136.350082,134.206955
